id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
313,2015-11-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
314,2015-11-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
315,2015-11-24,21.5,32,0,0,0,12083,“needs logging”,“none recorded”,“none recorded”
316,2015-11-25,95,,0,0,0,23500,“needs logging”,“none recorded”,“none recorded”
317,2015-11-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
318,2015-11-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
319,2015-11-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
320,2015-11-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
321,2015-11-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
322,2015-12-01,15,16,0,0,0,8741,“needs logging”,“none recorded”,“none recorded”
323,2015-12-02,14,14,0,0,0,8145,“needs logging”,“none recorded”,“none recorded”
324,2015-12-03,15,16,0,0,0,7765,“needs logging”,“none recorded”,“none recorded”
325,2015-12-04,24.5,22.5,0,0,0,14440,“needs logging”,“none recorded”,“none recorded”
326,2015-12-05,28,19,0,0,0,14586,“needs logging”,“none recorded”,“none recorded”
327,2015-12-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
328,2015-12-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
329,2015-12-08,14.5,15.5,0,0,0,8725.85,“needs logging”,“none recorded”,“none recorded”
330,2015-12-09,15.5,14.75,0,0,0,8732.65,“needs logging”,“none recorded”,“none recorded”
331,2015-12-10,16,13,0,0,0,8568.5,“needs logging”,“none recorded”,“none recorded”
332,2015-12-11,21.5,18,0,0,0,10977,“needs logging”,“none recorded”,“none recorded”
333,2015-12-12,29,23.5,0,0,0,15121,“needs logging”,“none recorded”,“none recorded”
334,2015-12-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
335,2015-12-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
336,2015-12-15,16.5,15,0,0,0,8843,“needs logging”,“none recorded”,“none recorded”
337,2015-12-16,17,16,0,0,0,9847,“needs logging”,“none recorded”,“none recorded”
338,2015-12-17,18.5,15.5,0,0,0,9957,“needs logging”,“none recorded”,“none recorded”
339,2015-12-18,23,17,0,0,0,10424,“needs logging”,“none recorded”,“none recorded”
340,2015-12-19,35,25,0,0,0,17359,“needs logging”,“none recorded”,“none recorded”
341,2015-12-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
342,2015-12-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
343,2015-12-22,26,18,0,0,0,11876,“needs logging”,“none recorded”,“none recorded”
344,2015-12-23,24,17,0,0,0,12546,“needs logging”,“none recorded”,“none recorded”
345,2015-12-24,30,,0,0,0,8150,“needs logging”,“none recorded”,“none recorded”
346,2015-12-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
347,2015-12-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
348,2015-12-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
349,2015-12-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
350,2015-12-29,30,18,0,0,0,14033,“needs logging”,“none recorded”,“none recorded”
351,2015-12-30,26.5,15.5,0,0,0,11608,“needs logging”,“none recorded”,“none recorded”
352,2015-12-31,44,,0,0,0,9732.5,“needs logging”,“none recorded”,“none recorded”
353,2016-01-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
354,2016-01-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
355,2016-01-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
356,2016-01-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
357,2016-01-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
358,2016-01-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
359,2016-01-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
360,2016-01-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
361,2016-01-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
362,2016-01-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
363,2016-01-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
364,2016-01-12,19,18,0,0,0,10686,“needs logging”,“none recorded”,“none recorded”
365,2016-01-13,18,17,0,0,0,9753,“needs logging”,“none recorded”,“none recorded”
366,2016-01-14,19.5,16.25,0,0,0,10026.9,“needs logging”,“none recorded”,“none recorded”
367,2016-01-15,23.5,23,0,0,0,13020.5,“needs logging”,“none recorded”,“none recorded”
368,2016-01-16,35,22.5,0,0,0,16551,“needs logging”,“none recorded”,“none recorded”
369,2016-01-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
370,2016-01-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
371,2016-01-19,14,13,0,0,0,7703,“needs logging”,“none recorded”,“none recorded”
372,2016-01-20,16,13.5,0,0,0,8822,“needs logging”,“none recorded”,“none recorded”
373,2016-01-21,16,15,0,0,0,8158,“needs logging”,“none recorded”,“none recorded”
374,2016-01-22,22,18,0,0,0,11115,“needs logging”,“none recorded”,“none recorded”
375,2016-01-23,32.5,26,0,0,0,16327,“needs logging”,“none recorded”,“none recorded”
376,2016-01-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
377,2016-01-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
378,2016-01-26,15,14,0,0,0,8566,“needs logging”,“none recorded”,“none recorded”
379,2016-01-27,17,15,0,0,0,9004,“needs logging”,“none recorded”,“none recorded”
380,2016-01-28,20,18,0,0,0,10550,“needs logging”,“none recorded”,“none recorded”
381,2016-01-29,23,20,0,0,0,12179,“needs logging”,“none recorded”,“none recorded”
382,2016-01-30,33,23.5,0,0,0,17719,“needs logging”,“none recorded”,“none recorded”
383,2016-01-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
384,2016-02-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
385,2016-02-02,13,15,0,0,0,8200,“needs logging”,“none recorded”,“none recorded”
386,2016-02-03,15.5,13,0,0,0,8548.95,“needs logging”,“none recorded”,“none recorded”
387,2016-02-04,14,17,0,0,0,8083.75,“needs logging”,“none recorded”,“none recorded”
388,2016-02-05,27,22.5,0,0,0,14583,“needs logging”,“none recorded”,“none recorded”
389,2016-02-06,39,21,0,0,0,16762,“needs logging”,“none recorded”,“none recorded”
390,2016-02-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
391,2016-02-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
392,2016-02-09,15,13.5,0,0,0,8650,“needs logging”,“none recorded”,“none recorded”
393,2016-02-10,13,14,0,0,0,8468,“needs logging”,“none recorded”,“none recorded”
394,2016-02-11,18,17,0,0,0,10497,“needs logging”,“none recorded”,“none recorded”
395,2016-02-12,24,25,0,0,0,15826,“needs logging”,“none recorded”,“none recorded”
396,2016-02-13,40,27,0,0,0,22241,“needs logging”,“none recorded”,“none recorded”
397,2016-02-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
398,2016-02-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
399,2016-02-16,17,13.5,0,0,0,9647,“needs logging”,“none recorded”,“none recorded”
400,2016-02-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
401,2016-02-18,17,16.5,0,0,0,10552,“needs logging”,“none recorded”,“none recorded”
402,2016-02-19,23.5,20,0,0,0,12586,“needs logging”,“none recorded”,“none recorded”
403,2016-02-20,31.5,25.5,0,0,0,17349,“needs logging”,“none recorded”,“none recorded”
404,2016-02-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
405,2016-02-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
406,2016-02-23,17,15.5,0,0,0,10850,“needs logging”,“none recorded”,“none recorded”
407,2016-02-24,19.5,18,0,0,0,10415,“needs logging”,“none recorded”,“none recorded”
408,2016-02-25,17.5,18,0,0,0,11732,“needs logging”,“none recorded”,“none recorded”
409,2016-02-26,28,27.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
410,2016-02-27,37,27,0,0,0,18661,“needs logging”,“none recorded”,“none recorded”
411,2016-02-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
412,2016-02-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
413,2016-03-01,13.5,16,0,0,0,10034.96,“needs logging”,“none recorded”,“none recorded”
414,2016-03-02,16,17.5,0,0,0,9883,“needs logging”,“none recorded”,“none recorded”
415,2016-03-03,16,18,0,0,0,9359,“needs logging”,“none recorded”,“none recorded”
416,2016-03-04,25,25,0,0,0,14288,“needs logging”,“none recorded”,“none recorded”
417,2016-03-05,32,22,0,0,0,15229,“needs logging”,“none recorded”,“none recorded”
418,2016-03-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
419,2016-03-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
420,2016-03-08,18,14.25,0,0,0,9552,“needs logging”,“none recorded”,“none recorded”
421,2016-03-09,16,16,0,0,0,9896,“needs logging”,“none recorded”,“none recorded”
422,2016-03-10,17,16,0,0,0,9761,“needs logging”,“none recorded”,“none recorded”
423,2016-03-11,23,26,0,0,0,13720,“needs logging”,“none recorded”,“none recorded”
424,2016-03-12,36,22.5,0,0,0,17214,“needs logging”,“none recorded”,“none recorded”
425,2016-03-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
426,2016-03-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
427,2016-03-15,15.5,17,0,0,0,10365,“needs logging”,“none recorded”,“none recorded”
428,2016-03-16,18.5,17.5,0,0,0,11396,“needs logging”,“none recorded”,“none recorded”
429,2016-03-17,19.5,22.5,0,0,0,13080.9,“needs logging”,“none recorded”,“none recorded”
430,2016-03-18,27,31,0,0,0,16383,“needs logging”,“none recorded”,“none recorded”
431,2016-03-19,35,27,0,0,0,19071,“needs logging”,“none recorded”,“none recorded”
432,2016-03-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
433,2016-03-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
434,2016-03-22,19.5,21,0,0,0,12513,“needs logging”,“none recorded”,“none recorded”
435,2016-03-23,22,16,0,0,0,12528,“needs logging”,“none recorded”,“none recorded”
436,2016-03-24,20.5,20,0,0,0,12322,“needs logging”,“none recorded”,“none recorded”
437,2016-03-25,30,26,0,0,0,15534,“needs logging”,“none recorded”,“none recorded”
438,2016-03-26,36,26,0,0,0,19404,“needs logging”,“none recorded”,“none recorded”
439,2016-03-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
440,2016-03-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
441,2016-03-29,20.5,18,0,0,0,11843,“needs logging”,“none recorded”,“none recorded”
442,2016-03-30,20.5,17,0,0,0,11639,“needs logging”,“none recorded”,“none recorded”
443,2016-03-31,19.5,18.5,0,0,0,11416,“needs logging”,“none recorded”,“none recorded”
444,2016-04-01,25,20,0,0,0,16084,“needs logging”,“none recorded”,“none recorded”
445,2016-04-02,33,27.5,0,0,0,20863,“needs logging”,“none recorded”,“none recorded”
446,2016-04-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
447,2016-04-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
448,2016-04-05,16.5,15.5,0,0,0,11226,“needs logging”,“none recorded”,“none recorded”
449,2016-04-06,17,18,0,0,0,12259,“needs logging”,“none recorded”,“none recorded”
450,2016-04-07,16,18,0,0,0,11483,“needs logging”,“none recorded”,“none recorded”
451,2016-04-08,24,23.5,0,0,0,15365,“needs logging”,“none recorded”,“none recorded”
452,2016-04-09,32,21,0,0,0,16329,“needs logging”,“none recorded”,“none recorded”
453,2016-04-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
454,2016-04-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
455,2016-04-12,14,14,0,0,0,9596,“needs logging”,“none recorded”,“none recorded”
456,2016-04-13,18,16,0,0,0,11004,“needs logging”,“none recorded”,“none recorded”
457,2016-04-14,19,18,0,0,0,13520,“needs logging”,“none recorded”,“none recorded”
458,2016-04-15,24,24,0,0,0,15311,“needs logging”,“none recorded”,“none recorded”
459,2016-04-16,33,26,0,0,0,20159,“needs logging”,“none recorded”,“none recorded”
460,2016-04-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
461,2016-04-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
462,2016-04-19,13,,0,0,0,4866,“needs logging”,“none recorded”,“none recorded”
463,2016-04-20,15,17,0,0,0,11181,“needs logging”,“none recorded”,“none recorded”
464,2016-04-21,19,18.5,0,0,0,11567,“needs logging”,“none recorded”,“none recorded”
465,2016-04-22,26.5,23.5,0,0,0,14097,“needs logging”,“none recorded”,“none recorded”
466,2016-04-23,35,26,0,0,0,21428,“needs logging”,“none recorded”,“none recorded”
467,2016-04-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
468,2016-04-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
469,2016-04-26,14,15.5,0,0,0,11027,“needs logging”,“none recorded”,“none recorded”
470,2016-04-27,15,16,0,0,0,10317,“needs logging”,“none recorded”,“none recorded”
471,2016-04-28,18,18,0,0,0,12611,“needs logging”,“none recorded”,“none recorded”
472,2016-04-29,37,30,0,0,0,16400,“needs logging”,“none recorded”,“none recorded”
473,2016-04-30,30,27,0,0,0,19327,“needs logging”,“none recorded”,“none recorded”
474,2016-05-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
475,2016-05-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
476,2016-05-03,15,16.5,0,0,0,11115,“needs logging”,“none recorded”,“none recorded”
477,2016-05-04,19,19,0,0,0,11728,“needs logging”,“none recorded”,“none recorded”
478,2016-05-05,16,15,0,0,0,10430,“needs logging”,“none recorded”,“none recorded”
479,2016-05-06,23,20.5,0,0,0,13797,“needs logging”,“none recorded”,“none recorded”
480,2016-05-07,44,35,0,0,0,24881.5,“needs logging”,“none recorded”,“none recorded”
481,2016-05-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
482,2016-05-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
483,2016-05-10,16,15,0,0,0,10848,“needs logging”,“none recorded”,“none recorded”
484,2016-05-11,17,15.5,0,0,0,10282,“needs logging”,“none recorded”,“none recorded”
485,2016-05-12,17.5,19.5,0,0,0,12343.52,“needs logging”,“none recorded”,“none recorded”
